embedding,input_mode,N,K,MRR,nDCG,Precision,Recall,mAP
minilm_chunk,raw,8,10,0.16666666666666666,0.22570385203686757,0.05,0.16666666666666666,0.07222222222222222
minilm_chunk,summary,8,10,0.03125,0.05383456975917413,0.0125,0.041666666666666664,0.010416666666666666
minilm_chunk,keywords,8,10,0.3125,0.3288662191964322,0.05,0.25,0.1875
minilm_chunk,combo,8,10,0.03125,0.05383456975917413,0.0125,0.041666666666666664,0.010416666666666666
minilm_concat,raw,8,10,0.34375,0.38270078895560633,0.05,0.16666666666666666,0.11458333333333333
minilm_concat,summary,8,10,0.125,0.11496509864352344,0.025,0.08333333333333333,0.06944444444444443
minilm_concat,keywords,8,10,0.3333333333333333,0.3562931131918443,0.0625,0.29166666666666663,0.15555555555555553
minilm_concat,combo,8,10,0.125,0.11496509864352344,0.025,0.08333333333333333,0.06944444444444443
minilm_fused10604,raw,8,10,0.10416666666666666,0.14050631500047972,0.037500000000000006,0.125,0.05138888888888889
minilm_fused10604,summary,8,10,0.125,0.125,0.0125,0.041666666666666664,0.041666666666666664
minilm_fused10604,keywords,8,10,0.4166666666666667,0.42746509864352344,0.0625,0.29166666666666663,0.19444444444444442
minilm_fused10604,combo,8,10,0.125,0.125,0.0125,0.041666666666666664,0.041666666666666664
