embedding,input_mode,N,K,MRR,nDCG,Precision,Recall,mAP
chunk,raw,7,10,0.7142857142857143,0.777155351760684,0.15714285714285717,0.761904761904762,0.5107142857142857
chunk,summary,7,10,0.7023809523809523,0.7582702676302061,0.12857142857142856,0.6428571428571429,0.43849206349206343
chunk,keywords,7,10,0.75,0.7536228367000873,0.14285714285714285,0.5952380952380952,0.5059523809523809
chunk,combo,7,10,0.7023809523809523,0.74680180893709,0.12857142857142856,0.6428571428571429,0.42261904761904756
concat,raw,7,10,0.8214285714285714,0.8484030895689857,0.14285714285714285,0.6904761904761906,0.5238095238095238
concat,summary,7,10,0.7261904761904762,0.7830467286847197,0.12857142857142856,0.6428571428571429,0.45436507936507936
concat,keywords,7,10,0.7857142857142857,0.7783097521239802,0.15714285714285717,0.6666666666666667,0.5452380952380952
concat,combo,7,10,0.7976190476190476,0.8143917503937621,0.12857142857142856,0.6428571428571429,0.44960317460317467
fused10604,raw,7,10,0.8571428571428571,0.7869219201878694,0.17142857142857143,0.7142857142857144,0.5777777777777778
fused10604,summary,7,10,0.719047619047619,0.7731283964989685,0.14285714285714285,0.7142857142857143,0.45714285714285713
fused10604,keywords,7,10,0.7857142857142857,0.7783097521239802,0.15714285714285717,0.6666666666666667,0.5452380952380952
fused10604,combo,7,10,0.719047619047619,0.7616599378058524,0.14285714285714285,0.7142857142857143,0.4412698412698412
