embedding,input_mode,N,K,MRR,nDCG,Precision,Recall,mAP
chunk,raw,7,10,0.7142857142857143,0.777155351760684,0.15714285714285717,0.761904761904762,0.5107142857142857
chunk,summary,7,10,0.7261904761904763,0.8045993698447634,0.14285714285714285,0.7142857142857143,0.5146825396825397
chunk,keywords,7,10,0.7142857142857143,0.777155351760684,0.15714285714285717,0.761904761904762,0.5107142857142857
chunk,combo,7,10,0.7023809523809523,0.7744266606414393,0.14285714285714285,0.7142857142857143,0.475
concat,raw,7,10,0.8214285714285714,0.8484030895689857,0.14285714285714285,0.6904761904761906,0.5238095238095238
concat,summary,7,10,0.7261904761904762,0.7931309111516475,0.14285714285714285,0.7142857142857143,0.4829365079365079
concat,keywords,7,10,0.8214285714285714,0.8484030895689857,0.14285714285714285,0.6904761904761906,0.5238095238095238
concat,combo,7,10,0.7976190476190476,0.8458552320700107,0.14285714285714285,0.7142857142857143,0.5067460317460317
fused10604,raw,7,10,0.8571428571428571,0.7869219201878694,0.17142857142857143,0.7142857142857144,0.5777777777777778
fused10604,summary,7,10,0.6833333333333333,0.7697312346537756,0.14285714285714285,0.7142857142857143,0.4718253968253968
fused10604,keywords,7,10,0.8571428571428571,0.7869219201878694,0.17142857142857143,0.7142857142857144,0.5777777777777778
fused10604,combo,7,10,0.7142857142857143,0.7946960209981054,0.14285714285714285,0.7142857142857143,0.4869047619047619
