embedding,input_mode,N,K,MRR,nDCG,Precision,Recall,mAP
chunk,raw,7,10,0.46428571428571425,0.5325454772956512,0.14285714285714285,0.5952380952380951,0.2650793650793651
chunk,summary,7,10,0.41428571428571426,0.45557545416715683,0.12857142857142856,0.5238095238095237,0.24731670445956164
chunk,keywords,7,10,0.6666666666666667,0.6924628527332998,0.17142857142857143,0.6904761904761905,0.49947089947089945
chunk,combo,7,10,0.5952380952380951,0.6537052797367365,0.14285714285714288,0.5952380952380951,0.38558201058201064
concat,raw,7,10,0.5357142857142857,0.5915228423785895,0.14285714285714285,0.5952380952380951,0.3079365079365079
concat,summary,7,10,0.4492063492063492,0.5121693806619921,0.14285714285714285,0.6666666666666666,0.2732426303854875
concat,keywords,7,10,0.6904761904761906,0.7000926814545165,0.17142857142857143,0.6904761904761905,0.5026455026455027
concat,combo,7,10,0.5261904761904762,0.6417077965533399,0.14285714285714285,0.6904761904761905,0.3178571428571428
fused10604,raw,7,10,0.5476190476190476,0.5873932969313435,0.12857142857142856,0.5476190476190476,0.2883597883597883
fused10604,summary,7,10,0.4428571428571429,0.4965846573897322,0.1142857142857143,0.5,0.23503401360544215
fused10604,keywords,7,10,0.6666666666666667,0.6924628527332998,0.17142857142857143,0.6904761904761905,0.49947089947089945
fused10604,combo,7,10,0.5476190476190476,0.6179669642452461,0.1285714285714286,0.5476190476190477,0.3511904761904762
